neighborhood,total_students_enrolled
Allegheny Center,80.0
Allentown,284.0
Arlington - Arlington Heights (Combined),204.0
Banksville,170.0
Bedford Dwellings,220.0
Beechview,794.0
Beltzhoover,245.0
Bloomfield,261.0
Bluff,40.0
Bon Air,53.0
Brighton Heights,598.0
Brookline,1169.0
California-Kirkbride,117.0
Carrick,1276.0
Central Lawrenceville,134.0
Central Northside,150.0
Chartiers City,15.0
Crafton Heights,539.0
Crawford-Roberts,228.0
Duquesne Heights,77.0
East Allegheny,69.0
East Carnegie,12.0
East Hills,569.0
East Liberty,496.0
Elliott,229.0
Fairywood,86.0
Fineview,97.0
Friendship,51.0
Garfield,520.0
Glen Hazel,68.0
Greenfield,487.0
Hays,40.0
Hazelwood,567.0
Highland Park,412.0
Homewood North,589.0
Homewood South,477.0
Homewood West,118.0
Knoxville,616.0
Larimer,256.0
Lincoln Place,237.0
Lincoln-Lemington-Belmar,508.0
Lower Lawrenceville,81.0
Manchester,162.0
Marshall-Shadeland,467.0
Middle Hill,228.0
Morningside,179.0
Mount Oliver,69.0
Mount Washington,410.0
New Homestead,58.0
Northview Heights,527.0
Oakwood,61.0
Overbrook,264.0
Perry North,397.0
Perry South,443.0
Point Breeze,317.0
Point Breeze North,129.0
Polish Hill,34.0
Regent Square,27.0
Saint Clair,13.0
Shadyside,217.0
Sheraden,694.0
South Oakland,76.0
South Side Flats,109.0
South Side Slopes,177.0
Spring Garden,62.0
Spring Hill-City,16.0
Squirrel Hill North,328.0
Squirrel Hill South,679.0
Stanton Heights,332.0
Summer Hill,41.0
Swisshelm Park,36.0
Terrace Village,401.0
Troy Hill,141.0
Upper Hill,144.0
Upper Lawrenceville,112.0
West End,17.0
West Oakland,51.0
Westwood,269.0
Windgap,110.0
