,Neighborhood,Number of Equipment,Number of Parks,Ratio,Metric
56,Squirrel Hill South,32,8,4.0,12.0
20,East Liberty,26,3,8.666666666666666,11.666666666666666
55,Squirrel Hill North,10,1,10.0,11.0
47,Regent Square,9,1,9.0,10.0
4,Beechview,21,5,4.2,9.2
24,Fineview,8,1,8.0,9.0
0,Allegheny Center,15,3,5.0,8.0
52,South Side Slopes,14,5,2.8,7.8
28,Hazelwood,13,3,4.333333333333333,7.333333333333333
49,Sheraden,13,4,3.25,7.25
59,Swisshelm Park,6,1,6.0,7.0
43,Perry North,6,1,6.0,7.0
2,Banksville,6,1,6.0,7.0
21,Elliott,11,3,3.6666666666666665,6.666666666666666
5,Beltzhoover,10,4,2.5,6.5
33,Lincoln Place,9,2,4.5,6.5
29,Highland Park,10,4,2.5,6.5
25,Garfield,9,2,4.5,6.5
40,Mount Washington,10,3,3.3333333333333335,6.333333333333334
50,South Oakland,9,3,3.0,6.0
48,Shadyside,5,1,5.0,6.0
41,New Homestead,5,1,5.0,6.0
62,Upper Hill,5,1,5.0,6.0
67,Windgap,5,1,5.0,6.0
9,Brighton Heights,8,2,4.0,6.0
16,Crawford-Roberts,8,3,2.6666666666666665,5.666666666666666
36,Manchester,7,2,3.5,5.5
26,Greenfield,7,2,3.5,5.5
61,Troy Hill,7,2,3.5,5.5
6,Bloomfield,7,2,3.5,5.5
10,Brookline,7,2,3.5,5.5
11,Carrick,7,2,3.5,5.5
23,Fairywood,4,1,4.0,5.0
60,Terrace Village,4,1,4.0,5.0
42,Oakwood,4,1,4.0,5.0
46,Polish Hill,4,1,4.0,5.0
30,Homewood North,4,1,4.0,5.0
1,Allentown,4,1,4.0,5.0
31,Homewood West,4,1,4.0,5.0
17,Duquesne Heights,4,1,4.0,5.0
34,Lincoln-Lemington-Belmar,6,2,3.0,5.0
63,Upper Lawrenceville,5,3,1.6666666666666667,4.666666666666667
15,Crafton Heights,5,2,2.5,4.5
39,Morningside,5,2,2.5,4.5
51,South Side Flats,5,2,2.5,4.5
37,Marshall-Shadeland,5,2,2.5,4.5
53,Spring Garden,3,1,3.0,4.0
64,West End,3,1,3.0,4.0
3,Bedford Dwellings,3,1,3.0,4.0
27,Hays,3,1,3.0,4.0
18,East Allegheny,3,1,3.0,4.0
57,Stanton Heights,3,1,3.0,4.0
8,Bon Air,3,1,3.0,4.0
54,Spring Hill-City View,3,1,3.0,4.0
38,Middle Hill,3,1,3.0,4.0
32,Larimer,3,1,3.0,4.0
12,Central Lawrenceville,3,1,3.0,4.0
13,Central Northside,4,2,2.0,4.0
45,Point Breeze North,3,1,3.0,4.0
44,Perry South,3,1,3.0,4.0
7,Bluff,2,1,2.0,3.0
19,East Carnegie,2,1,2.0,3.0
22,Esplen,2,1,2.0,3.0
14,Central Oakland,2,1,2.0,3.0
66,Westwood,2,1,2.0,3.0
35,Lower Lawrenceville,2,1,2.0,3.0
58,Strip District,1,1,1.0,2.0
65,West Oakland,1,1,1.0,2.0
